
---------- Begin Simulation Statistics ----------
system.cpu.fpAluAccesses                    104102865                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                  21056360                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                         2388923                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                       296124195                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads      536664478                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     242318622                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     45731620                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores     32729582                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups               683513216                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         566538573                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           9402369                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups            322227522                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates              4953385                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits               321751788                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.998524                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                31408646                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                170                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups        29591537                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits           28264606                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses          1326931                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted       152733                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       558560819                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls         5240508                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           9265106                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples   3120141509                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.283267                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.608066                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0      2313988524     74.16%     74.16% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1       142487797      4.57%     78.73% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        68036927      2.18%     80.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3       127528035      4.09%     85.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        39356026      1.26%     86.26% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        58589498      1.88%     88.14% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6        23191357      0.74%     88.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7        22397633      0.72%     89.60% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8       324565712     10.40%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total   3120141509                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                     3493426                       # Number of memory barriers committed (Count)
system.cpu.commit.functionCalls              29039214                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass     42396991      1.06%      1.06% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu   3160235672     78.93%     79.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult      3343363      0.08%     80.07% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv     35654793      0.89%     80.96% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd      7348315      0.18%     81.14% # Class of committed instruction (Count)
